,date,count,platform
741,2021-01-31,19,4
742,2021-02-01,94,4
743,2021-02-02,131,4
744,2021-02-03,111,4
745,2021-02-04,122,4
746,2021-02-05,110,4
747,2021-02-06,51,4
748,2021-02-07,34,4
749,2021-02-08,119,4
750,2021-02-09,147,4
751,2021-02-10,129,4
752,2021-02-11,125,4
753,2021-02-12,122,4
754,2021-02-13,73,4
755,2021-02-14,41,4
756,2021-02-15,118,4
757,2021-02-16,151,4
758,2021-02-17,152,4
759,2021-02-18,239,4
760,2021-02-19,256,4
761,2021-02-20,149,4
762,2021-02-21,64,4
763,2021-02-22,184,4
764,2021-02-23,237,4
765,2021-02-24,251,4
766,2021-02-25,234,4
767,2021-02-26,267,4
768,2021-02-27,138,4
769,2021-02-28,141,4
770,2021-03-01,200,4
771,2021-03-02,263,4
772,2021-03-03,304,4
773,2021-03-04,273,4
774,2021-03-05,311,4
775,2021-03-06,170,4
776,2021-03-07,99,4
777,2021-03-08,205,4
778,2021-03-09,328,4
779,2021-03-10,321,4
780,2021-03-11,320,4
781,2021-03-12,341,4
782,2021-03-13,177,4
783,2021-03-14,96,4
784,2021-03-15,247,4
785,2021-03-16,339,4
786,2021-03-17,336,4
787,2021-03-18,333,4
788,2021-03-19,358,4
789,2021-03-20,193,4
790,2021-03-21,100,4
791,2021-03-22,240,4
792,2021-03-23,352,4
793,2021-03-24,347,4
794,2021-03-25,346,4
795,2021-03-26,353,4
796,2021-03-27,204,4
797,2021-03-28,169,4
798,2021-03-29,199,4
799,2021-03-30,318,4
800,2021-03-31,305,4
801,2021-04-01,334,4
802,2021-04-02,343,4
803,2021-04-03,174,4
804,2021-04-04,77,4
805,2021-04-05,242,4
806,2021-04-06,353,4
807,2021-04-07,341,4
808,2021-04-08,334,4
809,2021-04-09,351,4
810,2021-04-10,178,4
811,2021-04-11,85,4
812,2021-04-12,249,4
813,2021-04-13,361,4
814,2021-04-14,344,4
815,2021-04-15,332,4
816,2021-04-16,363,4
